yyyy,mm,dd,latitude,longitude,depth,mag,magType
1908,8,20,31.228,87.835,15,6.9,mw
1911,10,14,30.759,80.279,20,6.5,mw
1916,8,28,29.73,80.745,20,7,mw
1934,1,15,26.885,86.589,15,8,mw
1935,1,3,30.737,88.318,15,6.5,mw
1936,5,27,28.397,83.311,15,6.8,mw
1944,10,17,31.266,83.114,20,6.8,mw
1944,10,29,31.051,83.135,20,6.5,mw
1945,6,4,30.218,80.082,15,6.4,mw
1947,2,10,31.537,85.278,15,6.5,mw
1951,5,28,28.925,86.685,15,6,mw
1952,10,7,31.464,87.446,15,5.8,mw
1952,11,19,29.682,86.506,15,5.8,mw
1953,2,23,29.529,81.382,10,5.8,mw
1953,8,29,28.168,82.333,15,5.8,mw
1953,10,8,32.258,82.892,10,6.1,mw
1953,10,11,32.116,82.786,30,6.5,mw
1953,12,3,31.151,85.743,30,6.5,mw
1954,9,4,28.169,83.825,15,5.9,mw
1955,8,4,30.675,86.43,15,5.7,mw
1957,4,14,30.521,84.348,15,6.4,mw
1957,4,22,30.841,84.297,15,6,mw
1958,1,23,30.622,84.133,15,5.5,mw
1958,10,28,30.472,84.553,15,6.3,mw
1958,11,3,30.44,84.54,15,5.5,mw
1958,12,28,29.926,79.9,15,6.1,mw
1960,3,5,29.411,81.158,25,5.7,mw
1964,9,26,29.829,80.474,25,5.9,mw
1965,1,12,27.357,87.867,20,5.9,mw
1965,6,17,32.052,87.784,10,5.9,mw
1966,3,6,31.525,80.487,20,6.7,mw
1966,3,6,31.422,80.554,20,6.3,mw
1966,6,27,29.504,80.845,25.9,6,mw
1966,6,27,29.543,80.915,25,5.7,mw
1966,6,27,29.706,80.935,25,6.3,mw
1966,12,16,29.535,80.823,20,5.7,mw
1971,5,3,30.739,84.443,10,5.5,mw
1973,1,2,31.241,88.088,33,5.2,mb
1973,3,22,28.135,86.993,33,5.2,mb
1973,4,4,30.485,83.68,48,4.8,mb
1973,8,1,29.604,89.088,71,4.9,mb
1973,10,16,28.219,82.945,33,5.2,mb
1974,3,3,30.825,86.292,33,5.3,mb
1974,3,6,32.294,85.73,33,4.7,mb
1974,3,13,29.251,81.569,65,4.5,mb
1974,3,24,27.727,86.11,33,5.7,ms
1974,3,24,27.594,86.021,33,4.8,mb
1974,5,6,29.325,81.652,33,4.5,mb
1974,9,27,28.596,85.496,70,5.6,mb
1974,10,31,31.24,85.33,33,4.6,mb
1974,11,10,31.501,86.359,33,4.5,mb
1974,12,23,29.412,81.393,45,5.2,mb
1975,1,23,27.314,88.255,33,4.8,mb
1975,1,31,28.1,84.729,33,5.4,mb
1975,2,6,27.891,87.826,33,4.7,mb
1975,4,9,30.41,84.889,33,4.9,mb
